"Downloaded on",04/11/2024,"01:52:02 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22search%22%3A%22gun%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%2C%22103%22%2C%22102%22%2C%22101%22%5D%2C%22source%22%3A%22legislation%22%2C%22bill-status%22%3A%22all%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,"Party of Sponsor","Date of Introduction"
"H.R. 6362",https://www.congress.gov/bill/111th-congress/house-bill/6362,"111th Congress (2009-2010)","SAVE Act",Democratic,09/29/2010
"H.R. 17",https://www.congress.gov/bill/111th-congress/house-bill/17,"111th Congress (2009-2010)","Citizens' Self-Defense Act of 2009",Republican,01/06/2009
"H.Res. 258",https://www.congress.gov/bill/111th-congress/house-resolution/258,"111th Congress (2009-2010)","Expressing the sense of the House of Representatives regarding drug trafficking in Mexico.",Democratic,03/18/2009
"S.Res. 72",https://www.congress.gov/bill/111th-congress/senate-resolution/72,"111th Congress (2009-2010)","A resolution expressing the sense of the Senate regarding drug trafficking in Mexico.",Democratic,03/10/2009
"H.R. 4000",https://www.congress.gov/bill/111th-congress/house-bill/4000,"111th Congress (2009-2010)","Conflict Resolution and Mediation Act of 2009",Democratic,11/03/2009
"H.R. 4686",https://www.congress.gov/bill/111th-congress/house-bill/4686,"111th Congress (2009-2010)","Rota Cultural and Natural Resources Study Act",Democratic,02/24/2010
"H.Res. 681",https://www.congress.gov/bill/111th-congress/house-resolution/681,"111th Congress (2009-2010)","Expressing condolences to the family and loved ones of Agent Robert Rosas and standing in solidarity with the brave men and women of the United States Border Patrol as they remember the service and sacrifice of Agent Rosas and continue their mission to preserve and defend our borders.",Republican,07/27/2009
"H.Res. 568",https://www.congress.gov/bill/111th-congress/house-resolution/568,"111th Congress (2009-2010)","Recognizing the 150th anniversary of John Brown's raid in Harpers Ferry, West Virginia.",Republican,06/19/2009
"H.R. 2924",https://www.congress.gov/bill/111th-congress/house-bill/2924,"111th Congress (2009-2010)","Presidential Commission to Study the Culture and Glorification of Violence in America Act",Democratic,06/17/2009
"S. 2462",https://www.congress.gov/bill/111th-congress/senate-bill/2462,"111th Congress (2009-2010)","A bill to suspend temporarily the duty on electric pneumatic airsoft rifles.",Republican,10/29/2009
"H.R. 1074",https://www.congress.gov/bill/111th-congress/house-bill/1074,"111th Congress (2009-2010)","Firearms Interstate Commerce Reform Act",Republican,02/13/2009
"H.Res. 290",https://www.congress.gov/bill/111th-congress/house-resolution/290,"111th Congress (2009-2010)","Honoring the lives, and mourning the loss, of Sergeant Mark Dunakin, Sergeant Ervin Romans, Sergeant Daniel Sakai, and Officer John Hege, members of the Oakland Police Department in California who were brutally slain in the line of duty.",Democratic,03/26/2009
"H.Res. 625",https://www.congress.gov/bill/111th-congress/house-resolution/625,"111th Congress (2009-2010)","Recognizing and commending the 2009 National Veterans Wheelchair Games, to be held in Spokane, Washington, July 13 through 18, 2009.",Republican,07/10/2009
"H.Res. 1534",https://www.congress.gov/bill/111th-congress/house-resolution/1534,"111th Congress (2009-2010)","Honoring Special Agent William G. Clark of the Bureau of Alcohol, Tobacco, Firearms and Explosives for his heroic actions while protecting the life of a woman in danger.",Republican,07/19/2010
"H.Res. 1440",https://www.congress.gov/bill/111th-congress/house-resolution/1440,"111th Congress (2009-2010)","Recognizing and supporting Israel's right to defend itself.",Democratic,06/14/2010
"H.Res. 1505",https://www.congress.gov/bill/111th-congress/house-resolution/1505,"111th Congress (2009-2010)","Expressing the sense of the House of Representatives that the Secretary of the Navy should name the next appropriate naval ship in honor of World War II Medal of Honor recipient John William Finn.",Republican,07/01/2010
"S. 1638",https://www.congress.gov/bill/111th-congress/senate-bill/1638,"111th Congress (2009-2010)","Amtrak Secure Transportation of Firearms Act",Republican,08/06/2009
"S. 556",https://www.congress.gov/bill/111th-congress/senate-bill/556,"111th Congress (2009-2010)","Firearms Transfer Improvement Act",Republican,03/10/2009
"H.Res. 1217",https://www.congress.gov/bill/111th-congress/house-resolution/1217,"111th Congress (2009-2010)","Honoring Fort Drum's soldiers of the 10th Mountain Division for their past and continuing contributions to the security of the United States.",Democratic,03/24/2010
"H.R. 3789",https://www.congress.gov/bill/111th-congress/house-bill/3789,"111th Congress (2009-2010)","Amtrak Secure Transportation of Firearms Act",Republican,10/13/2009
"H.R. 1534",https://www.congress.gov/bill/111th-congress/house-bill/1534,"111th Congress (2009-2010)","To direct the Secretary of Defense and the Chairman of the Joint Chiefs of Staff to jointly carry out a study on the use of thorium-liquid fueled nuclear reactors for naval power needs, and for other purposes.",Democratic,03/16/2009
"H.Res. 1708",https://www.congress.gov/bill/111th-congress/house-resolution/1708,"111th Congress (2009-2010)","Recognizing the destructive role of the Government of Eritrea and calling on the Secretary of State to designate Eritrea as a country that has provided support for international terrorism.",Republican,09/29/2010
"H.R. 442",https://www.congress.gov/bill/111th-congress/house-bill/442,"111th Congress (2009-2010)","Veterans' Heritage Firearms Act of 2009",Republican,01/09/2009
"H.Con.Res. 87",https://www.congress.gov/bill/111th-congress/house-concurrent-resolution/87,"111th Congress (2009-2010)","Observing the 15th anniversary of the Rwandan genocide and calling on all responsible nations to uphold the principles of the Convention on the Prevention and Punishment of the Crime of Genocide.",Republican,03/30/2009
"H.R. 1529",https://www.congress.gov/bill/111th-congress/house-bill/1529,"111th Congress (2009-2010)","Second Chance for Ex-Offenders Act of 2009",Democratic,03/16/2009
"H.Res. 364",https://www.congress.gov/bill/111th-congress/house-resolution/364,"111th Congress (2009-2010)","Condemning all forms of anti-Semitism and reaffirming the support of Congress for the mandate of the Special Envoy to Monitor and Combat Anti-Semitism, and for other purposes.",Democratic,04/27/2009
"S. 3273",https://www.congress.gov/bill/111th-congress/senate-bill/3273,"111th Congress (2009-2010)","Southern Border Security Assistance Act",Republican,04/28/2010
"H.Res. 1032",https://www.congress.gov/bill/111th-congress/house-resolution/1032,"111th Congress (2009-2010)","Expressing the sense of the House of Representatives that the United States should continue to assist the Government of Mexico in fighting the drug cartels and curbing violence against Mexican and United States citizens, both in the United States and abroad.",Democratic,01/21/2010
"H.R. 3893",https://www.congress.gov/bill/111th-congress/house-bill/3893,"111th Congress (2009-2010)","First State National Historical Park Act",Republican,10/21/2009
"S. 1801",https://www.congress.gov/bill/111th-congress/senate-bill/1801,"111th Congress (2009-2010)","First State National Historical Park Act",Democratic,10/20/2009
"H.R. 1139",https://www.congress.gov/bill/111th-congress/house-bill/1139,"111th Congress (2009-2010)","COPS Improvements Act of 2009",Democratic,02/23/2009
"S. 167",https://www.congress.gov/bill/111th-congress/senate-bill/167,"111th Congress (2009-2010)","COPS Improvements Act of 2009",Democratic,01/08/2009
"H.R. 45",https://www.congress.gov/bill/111th-congress/house-bill/45,"111th Congress (2009-2010)","Blair Holt's Firearm Licensing and Record of Sale Act of 2009",Democratic,01/06/2009
"H.R. 1448",https://www.congress.gov/bill/111th-congress/house-bill/1448,"111th Congress (2009-2010)","Border Reinforcement and Violence Reduction Act of 2009",Democratic,03/11/2009
"S. 159",https://www.congress.gov/bill/111th-congress/senate-bill/159,"111th Congress (2009-2010)","Paterson Great Falls National Historical Park Act",Democratic,01/06/2009
"H.R. 280",https://www.congress.gov/bill/111th-congress/house-bill/280,"111th Congress (2009-2010)","Paterson Great Falls National Historical Park Act",Democratic,01/07/2009
"S. 3456",https://www.congress.gov/bill/111th-congress/senate-bill/3456,"111th Congress (2009-2010)","Military Construction Authorization Act for Fiscal Year 2011",Democratic,06/04/2010
"H.R. 1022",https://www.congress.gov/bill/111th-congress/house-bill/1022,"111th Congress (2009-2010)","Gang Prevention, Intervention, and Suppression Act",Democratic,02/12/2009
"H.R. 1358",https://www.congress.gov/bill/111th-congress/house-bill/1358,"111th Congress (2009-2010)","Burt Lake Band of Ottawa and Chippewa Indians Reaffirmation Act",Democratic,03/05/2009
"S. 3455",https://www.congress.gov/bill/111th-congress/senate-bill/3455,"111th Congress (2009-2010)","Department of Defense Authorization Act for Fiscal Year 2011",Democratic,06/04/2010
"S. 3454",https://www.congress.gov/bill/111th-congress/senate-bill/3454,"111th Congress (2009-2010)","National Defense Authorization Act for Fiscal Year 2011",Democratic,06/04/2010
"S. 1390",https://www.congress.gov/bill/111th-congress/senate-bill/1390,"111th Congress (2009-2010)","National Defense Authorization Act for Fiscal Year 2010",Democratic,07/02/2009
"H.R. 2857",https://www.congress.gov/bill/111th-congress/house-bill/2857,"111th Congress (2009-2010)","Gang Deterrence and Community Protection Act of 2009",Republican,06/12/2009
"H.R. 1064",https://www.congress.gov/bill/111th-congress/house-bill/1064,"111th Congress (2009-2010)","Youth Prison Reduction through Opportunities, Mentoring, Intervention, Support, and Education Act",Democratic,02/13/2009
"S. 132",https://www.congress.gov/bill/111th-congress/senate-bill/132,"111th Congress (2009-2010)","Gang Abatement and Prevention Act of 2009",Democratic,01/06/2009
"H.R. 1772",https://www.congress.gov/bill/111th-congress/house-bill/1772,"111th Congress (2009-2010)","Criminal Code Modernization and Simplification Act of 2009",Republican,03/26/2009
"H.R. 2647",https://www.congress.gov/bill/111th-congress/house-bill/2647,"111th Congress (2009-2010)","National Defense Authorization Act for Fiscal Year 2010",Democratic,06/02/2009
"S. 435",https://www.congress.gov/bill/111th-congress/senate-bill/435,"111th Congress (2009-2010)","Youth PROMISE Act",Democratic,02/13/2009
"H.R. 5136",https://www.congress.gov/bill/111th-congress/house-bill/5136,"111th Congress (2009-2010)","National Defense Authorization Act for Fiscal Year 2011",Democratic,04/26/2010
"S. 3280",https://www.congress.gov/bill/111th-congress/senate-bill/3280,"111th Congress (2009-2010)","National Defense Authorization Act for Fiscal Year 2011",Democratic,04/29/2010
"H.R. 627",https://www.congress.gov/bill/111th-congress/house-bill/627,"111th Congress (2009-2010)","Credit CARD Act of 2009",Democratic,01/22/2009
"H.R. 6523",https://www.congress.gov/bill/111th-congress/house-bill/6523,"111th Congress (2009-2010)","Ike Skelton National Defense Authorization Act for Fiscal Year 2011",Democratic,12/15/2010
"H.R. 6161",https://www.congress.gov/bill/111th-congress/house-bill/6161,"111th Congress (2009-2010)","To enact title 54, United States Code, ""National Park System"", as positive law.",Democratic,09/22/2010
"H.R. 3293",https://www.congress.gov/bill/111th-congress/house-bill/3293,"111th Congress (2009-2010)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2010",Democratic,07/22/2009
"S. 3686",https://www.congress.gov/bill/111th-congress/senate-bill/3686,"111th Congress (2009-2010)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2011",Democratic,08/02/2010
"H.R. 2847",https://www.congress.gov/bill/111th-congress/house-bill/2847,"111th Congress (2009-2010)","Hiring Incentives to Restore Employment Act",Democratic,06/12/2009
"H.R. 5590",https://www.congress.gov/bill/111th-congress/house-bill/5590,"111th Congress (2009-2010)","Counterterrorism Enhancement and Department of Homeland Security Authorization Act of 2010",Republican,06/24/2010
"H.R. 3619",https://www.congress.gov/bill/111th-congress/house-bill/3619,"111th Congress (2009-2010)","Coast Guard Authorization Act of 2010",Democratic,09/22/2009
"H.R. 1105",https://www.congress.gov/bill/111th-congress/house-bill/1105,"111th Congress (2009-2010)","Omnibus Appropriations Act, 2009",Democratic,02/23/2009
"H.R. 3288",https://www.congress.gov/bill/111th-congress/house-bill/3288,"111th Congress (2009-2010)","Consolidated Appropriations Act, 2010",Democratic,07/22/2009
"H.R. 146",https://www.congress.gov/bill/111th-congress/house-bill/146,"111th Congress (2009-2010)","Omnibus Public Land Management Act of 2009",Democratic,01/06/2009
"S. 22",https://www.congress.gov/bill/111th-congress/senate-bill/22,"111th Congress (2009-2010)","Omnibus Public Land Management Act of 2009",Democratic,01/07/2009
"H.R. 3590",https://www.congress.gov/bill/111th-congress/house-bill/3590,"111th Congress (2009-2010)","Patient Protection and Affordable Care Act",Democratic,09/17/2009
"H.R. 3082",https://www.congress.gov/bill/111th-congress/house-bill/3082,"111th Congress (2009-2010)","Continuing Appropriations and Surface Transportation Extensions Act, 2011",Democratic,06/26/2009
"H.R. 5859",https://www.congress.gov/bill/111th-congress/house-bill/5859,"111th Congress (2009-2010)","To award a Congressional Gold Medal to the World War II members of the Civil Air Patrol.",Democratic,07/26/2010
"S. 3237",https://www.congress.gov/bill/111th-congress/senate-bill/3237,"111th Congress (2009-2010)","A bill to award a Congressional Gold Medal to the World War II members of the Civil Air Patrol.",Democratic,04/21/2010
"S.Con.Res. 13",https://www.congress.gov/bill/111th-congress/senate-concurrent-resolution/13,"111th Congress (2009-2010)","An original concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2010, revising the appropriate budgetary levels for fiscal year 2009, and setting forth the appropriate budgetary levels for fiscal years 2011 through 2014.",Democratic,03/27/2009
"H.R. 256",https://www.congress.gov/bill/110th-congress/house-bill/256,"110th Congress (2007-2008)","Child Gun Safety and Gun Access Prevention Act of 2007",Democratic,01/05/2007
