Date of Introduction,Sentiment Score
2012-07-25,-0.9998
2012-08-02,0.9996
2012-09-20,1.0
2012-09-21,0.8263
2012-12-18,-0.896
2012-12-31,0.9973
2013-01-03,-0.7904
2013-01-14,0.9141
2013-01-18,-0.9986
2013-01-22,0.9286
2013-01-24,0.9774
2013-01-25,0.7761
2013-01-29,-0.9999
2013-01-30,-0.9741
2013-02-01,0.9923
2013-02-04,-0.5719
2013-02-06,0.953
2013-02-13,-0.9956
2013-02-14,-0.9998
2013-02-15,-0.8718
2013-02-25,1.0
2013-02-27,0.971
2013-03-04,1.0
2013-03-05,0.5106
2013-03-07,0.9901
2013-03-12,0.9901
2013-03-20,-0.9595
2013-03-21,0.9719
2013-04-15,-0.998
2013-04-17,-0.9979
2013-04-25,0.9605
2013-05-07,-1.0
2013-05-08,0.9896
2013-05-09,-0.9904
2013-05-14,1.0
2013-05-23,1.0
2013-06-04,1.0
2013-06-06,0.9231
2013-06-20,1.0
2013-07-08,-0.9808
2013-07-11,1.0
2013-07-18,1.0
2013-07-23,-0.5475
2013-07-25,-0.9987
2013-07-30,0.9995
2013-08-01,0.9329
2013-08-02,0.9979
2013-09-26,0.5719
2013-10-22,1.0
2013-10-23,0.9759
2013-10-29,0.9933
2013-11-20,1.0
2013-12-10,-0.9897
2013-12-12,1.0
2014-01-09,0.9322
2014-01-16,1.0
2014-01-27,0.9811
2014-01-29,0.0258
2014-01-31,1.0
2014-03-11,0.962
2014-03-13,0.9505
2014-04-02,-0.7125
2014-04-04,-0.8402
2014-04-09,1.0
2014-04-10,0.9904
2014-04-28,1.0
2014-05-05,1.0
2014-05-15,1.0
2014-05-21,-0.6037
2014-05-30,-0.872
2014-06-02,1.0
2014-06-05,1.0
2014-06-20,-0.9069
2014-06-24,-0.5475
2014-07-14,-0.9883
2014-07-29,-0.9842
2014-07-31,-0.2185
2014-09-08,0.9989
2014-09-11,-0.9918
2014-09-17,-0.9795
2014-09-18,0.8313
2014-11-20,0.9961
2015-01-06,-0.9595
2015-01-08,-0.9957
2015-01-13,0.9141
2015-01-14,-0.9642
2015-01-16,0.9329
2015-01-20,-0.9997
2015-01-21,0.9902
2015-01-22,0.9887
2015-02-02,1.0
2015-02-03,1.0
2015-02-04,0.9997
2015-02-12,0.9322
2015-02-13,0.5648
2015-02-26,0.9951
2015-03-03,-0.9985
2015-03-04,0.9923
2015-03-17,-0.8542
2015-03-18,-0.5958
2015-03-19,0.9811
2015-03-20,1.0
2015-03-26,0.9957
2015-04-13,1.0
2015-04-16,-0.5475
2015-04-22,0.9995
2015-04-24,1.0
2015-04-30,1.0
2015-05-05,-0.9962
2015-05-07,1.0
2015-05-08,0.9759
2015-05-12,-0.9595
2015-05-14,1.0
2015-05-15,-0.9998
2015-05-19,1.0
2015-05-21,0.9914
2015-05-27,1.0
2015-06-02,-0.6037
2015-06-04,-0.9349
2015-06-09,-0.5475
2015-06-10,0.9904
2015-06-11,0.9947
2015-06-17,0.9992
2015-06-18,1.0
2015-06-24,-0.7579
2015-06-25,1.0
2015-07-09,1.0
2015-07-13,0.9936
2015-07-14,-0.4466
2015-07-21,0.9666
2015-07-22,0.9895
2015-07-27,0.9339
2015-07-29,0.999
2015-08-05,-0.9997
2015-09-09,-0.9992
2015-09-18,0.9873
2015-10-05,1.0
2015-10-08,-0.9913
2015-10-16,0.9989
2015-10-22,0.9715
2015-10-26,-0.9887
2015-10-27,0.9918
2015-10-28,0.9989
2015-11-03,-0.9967
2015-11-04,0.9715
2015-11-18,-0.9819
2015-11-19,0.8797
2015-11-30,-0.9978
2015-12-01,0.9825
2015-12-03,0.9372
2015-12-07,0.9998
2015-12-09,0.9999
2015-12-10,0.998
2015-12-15,0.9905
2015-12-16,-0.9999
2015-12-18,0.9992
2016-01-05,-0.991
2016-01-07,0.9917
2016-01-08,-0.9926
2016-01-13,-0.9561
2016-02-01,-0.6896
2016-02-11,0.9001
2016-02-25,-0.4803
2016-03-21,0.9951
2016-04-12,1.0
2016-04-13,0.886
2016-04-14,0.9337
2016-04-20,-0.946
2016-04-21,0.8126
2016-04-27,-0.9879
2016-05-16,-0.9795
2016-05-18,1.0
2016-05-25,-0.9978
2016-06-07,1.0
2016-06-09,1.0
2016-06-13,-0.8402
2016-06-14,-0.9958
2016-06-15,-0.9846
2016-06-16,-0.9846
2016-06-20,0.836
2016-06-21,-0.986
2016-07-07,1.0
2016-07-12,0.9855
2016-07-14,0.8759
2016-07-22,1.0
2016-09-08,0.997
2016-09-14,0.9893
2016-09-15,0.9946
2016-09-20,0.216
2016-12-01,-0.0516
2016-12-08,-0.9779
2017-01-03,0.9062
2017-01-04,0.9821
2017-01-06,-0.9595
2017-01-09,0.9715
2017-01-11,0.9141
2017-01-17,-0.7624
2017-02-03,0.0258
2017-02-06,0.9905
2017-02-13,0.9497
2017-02-15,0.9821
2017-02-16,0.9497
2017-03-01,-0.4404
2017-03-07,0.9983
2017-03-09,-0.9699
2017-03-10,0.9995
2017-03-14,0.8006
2017-03-15,0.9781
2017-03-17,-0.9984
2017-03-20,1.0
2017-03-22,-0.948
2017-03-28,0.5671
2017-03-29,0.9324
2017-03-30,-0.6037
2017-04-05,-0.6037
2017-04-06,0.8126
2017-05-04,0.9982
2017-05-17,0.9999
2017-05-23,-0.9998
2017-05-24,0.9904
2017-05-25,-0.9913
2017-05-26,-0.9997
2017-06-02,-0.9997
2017-06-06,0.9873
2017-06-07,1.0
2017-06-21,0.8126
2017-06-26,0.9923
2017-07-10,1.0
2017-07-12,-0.9349
2017-07-17,1.0
2017-07-21,1.0
2017-07-24,1.0
